idperson,status,createduser,createdtime,updateduser,timestamp,rowguid,firstname,lastname,name,phone,mobilephone,email,inactive,company,position,expireddate,anonymizeddate,emailhardbounce,_sys_owner,_sys_group,_sys_permissions
1011,0,1,2018-06-21 14:38:38.883000000,1,2018-06-21 14:38:38.883000000,{761F1907-5F04-4BF9-918B-1E0687BC4A0E},Erik,Danielsson,Erik Danielsson,0818321254,0805246551,erik.danielsson@limedemo.com,0,1011,Ekonomiansvarig,,,0,1,2,511
1012,0,1,2018-06-21 14:38:38.883000000,1,2018-06-21 14:38:38.883000000,{A939E701-8D5C-4CA9-8403-9003D3DFFE79},Erik,Karlsson,Erik Karlsson,0822254381,0707424727,erik.karlsson@limedemo.com,0,1016,VD,,,0,1,2,511
1013,0,1,2018-06-21 14:38:38.883000000,1,2018-06-21 14:38:38.883000000,{07B18780-C57B-4537-8637-6EBF9676A5E1},Frank,Hvam,Frank Hvam,,,frank.hvam@limedemo.com,0,1017,Konsult,,,0,1,2,511
1014,0,1,2018-06-21 14:38:38.883000000,1,2018-06-21 14:38:38.883000000,{4A835519-566E-4F1C-8460-425B9FC84F3B},Gerda,Petersen,Gerda Petersen,+4566343455,+4520436571,gerda.petersen@limedemo.com,0,1020,Ekonomiansvarig,,,0,1,2,511
1015,0,1,2018-06-21 14:38:38.883000000,1,2018-06-21 14:38:38.883000000,{71513385-B63F-444B-B3E0-23A6CD93489D},Gunnar Nu,Hansen,Gunnar Nu Hansen,+4590909090,+4521324254,gunnar nu.hansen@limedemo.com,0,1014,VD,,,0,1,2,511
1016,0,1,2018-06-21 14:38:38.883000000,1,2018-06-21 14:38:38.883000000,{D76FE841-E3A2-4704-8922-983544A69281},Hanna,Book,Hanna Book,,,hanna.book@limedemo.com,0,1015,Säljare,,,0,1,2,511
1017,0,1,2018-06-21 14:38:38.883000000,1,2018-06-21 14:38:38.883000000,{D8596354-2D5C-4D39-A09B-371884FBA84E},Hans,Andersson,Hans Andersson,,+46733501201,hans.andersson@limedemo.com,0,1026,VD,,,0,1,2,511
1018,0,1,2018-06-21 14:38:38.883000000,1,2018-06-21 14:38:38.883000000,{0CF803A9-6C5B-413F-B47B-60882A6E1394},Hans,Hansen,Hans Hansen,,+4522667272,hans.hansen@limedemo.com,0,1012,VD,,,0,1,2,511
1019,0,1,2018-06-21 14:38:38.883000000,1,2018-06-21 14:38:38.883000000,{C5B3B702-6A72-4693-B4BA-D85DA816DC0C},Hubert,Karlsson,Hubert Karlsson,+358324234,+3584541155,hubert.karlsson@limedemo.com,0,1009,Toimitusjohtaja,,,0,1,2,511
1020,0,1,2018-06-21 14:38:38.883000000,1,2018-06-21 14:38:38.883000000,{B8A64AE5-F998-49B8-8FE0-DE22897D2384},Ida,Hansen,Ida Hansen,,+4533876634,ida.hansen@limedemo.com,0,1017,Marknadsansvarig,,,0,1,2,511
1021,0,1,2018-06-21 14:38:38.883000000,1,2018-06-21 14:38:38.883000000,{2E19719C-5A5A-43C7-99DD-7905C0CA0631},Indiana,Jones,Indiana Jones,0736446921,,indiana.jones@limedemo.com,0,1018,VD,,,0,1,2,511
1022,0,1,2018-06-21 14:38:38.883000000,1,2018-06-21 14:38:38.883000000,{144B1EB0-C743-47BF-BA3D-042A0D930F8F},Jesper,Olsen,Jesper Olsen,+4563121212,+4523232425,jesper.olsen@limedemo.com,0,1019,Försäljningsansvarig,,,0,1,2,511
1023,0,1,2018-06-21 14:38:38.883000000,1,2018-06-21 14:38:38.883000000,{4A8C9593-406A-496E-8488-923D3D07428E},Johan,Hansen,Johan Hansen,+4722134788,+4741022765,johan.hansen@limedemo.com,0,1021,,,,0,1,2,511
1024,0,1,2018-06-21 14:38:38.883000000,1,2018-06-21 14:38:38.883000000,{A767330B-6BD8-4FDE-B640-0013ECAEF5DE},Johanna,Eriksson,Johanna Eriksson,0818321254,0807351224,johanna.eriksson@limedemo.com,0,1011,Säljare,,,0,1,2,511
1025,0,1,2018-06-21 14:38:38.883000000,1,2018-06-21 14:38:38.883000000,{6C6A6713-2E47-416B-9D81-63EE09C208C1},Jonna,Hansen,Jonna Hansen,+4566343478,+4532112296,jonna.hansen@limedemo.com,0,1020,Försäljningsansvarig,,,0,1,2,511
1026,0,1,2018-06-21 14:38:38.883000000,1,2018-06-21 14:38:38.883000000,{1D5E7FD7-987C-445A-AC4B-92747E632223},Kalle,Kula,Kalle Kula,0900020233,07070707070,kalle.kula@limedemo.com,0,1027,VD,,,0,1,2,511
1027,0,1,2018-06-21 14:38:38.883000000,1,2018-06-21 14:38:38.883000000,{AC59FD97-56E0-44ED-804C-4CA5434424FC},Kenneth,Hansen,Kenneth Hansen,,+4566727289,kenneth.hansen@limedemo.com,0,1012,Försäljningsansvarig,,,0,1,2,511
1028,0,1,2018-06-21 14:38:38.883000000,1,2018-06-21 14:38:38.883000000,{AA8BECDD-D35B-4F9E-AD6A-CF929BB99B23},Kenneth,Uggla,Kenneth Uggla,0809143571,070101853135,kenneth.uggla@limedemo.com,0,1027,IT-chef,,,0,1,2,511
1029,0,1,2018-06-21 14:38:38.883000000,1,2018-06-21 14:38:38.883000000,{4DD2F346-646D-43F6-AE62-D4A4CCA50D4E},Kim,Larsen,Kim Larsen,+4570202035,+4521324252,kim.larsen@limedemo.com,0,1014,Ekonomiansvarig,,,0,1,2,511
1030,0,1,2018-06-21 14:38:38.883000000,1,2018-06-21 14:38:38.883000000,{2BF4D43D-3F64-40CC-A289-6610F7AFAE56},Kim,Thøgersen,Kim Thøgersen,,+4526778900,kim.thøgersen@limedemo.com,0,1023,Försäljningsansvarig,,,0,1,2,511
1031,0,1,2018-06-21 14:38:38.883000000,1,2018-06-21 14:38:38.883000000,{AD796169-2E1D-4418-BC88-03DEF6D13100},Klara,Ring,Klara Ring,040789685,070123986,klara.ring@limedemo.com,0,1013,Försäljningsansvarig,,,0,1,2,511
1032,0,1,2018-06-21 14:38:38.883000000,1,2018-06-21 14:38:38.883000000,{0D3BE69E-4383-4B59-ACA1-F721AFCF8719},Klas,Musström,Klas Musström,01035020,07093932903,klas.musström@limedemo.com,0,1025,Ekonomiansvarig,,,0,1,2,511
1033,0,1,2018-06-21 14:38:38.883000000,1,2018-06-21 14:38:38.883000000,{02E06544-3B9E-4937-AD72-2D2312AE9826},Klas,Ralvert,Klas Ralvert,04058502,0734224655,klas.ralvert@limedemo.com,0,1007,Marknadsassistent,,,0,1,2,511
1034,0,1,2018-06-21 14:38:38.883000000,1,2018-06-21 14:38:38.883000000,{28C7E7D8-1874-48A6-B049-87FE7120A4BB},Kurt,Möller,Kurt Möller,4649028130,46704836842,kurt.möller@limedemo.com,0,1015,,,,0,1,2,511
1035,0,1,2018-06-21 14:38:38.883000000,1,2018-06-21 14:38:38.883000000,{A594E9B4-69A9-4201-A2DD-A4C09055CA75},Lars,Løkke,Lars Løkke,,+4555998833,lars.løkke@limedemo.com,0,1017,Konsult,,,0,1,2,511
1036,0,1,2018-06-21 14:38:38.883000000,1,2018-06-21 14:38:38.883000000,{71E3A480-D741-4E3E-8805-9F8CFB348250},Lars,Olsen,Lars Olsen,+4560607070,+4521325353,lars.olsen@limedemo.com,0,1014,Försäljningsansvarig,,,0,1,2,511
1037,0,1,2018-06-21 14:38:38.883000000,1,2018-06-21 14:38:38.883000000,{E51F8F83-D559-4246-AC85-272A1CBEEC09},Lene,Hansen,Lene Hansen,+4586234321,+4534226545,lene.hansen@limedemo.com,0,1008,IT-chef,,,0,1,2,511
1038,0,1,2018-06-21 14:38:38.883000000,1,2018-06-21 14:38:38.883000000,{52CC15E8-B392-4607-B4F6-6EF9AD28EF32},Linda,Pedersen,Linda Pedersen,+4532955001,+4550403020,linda.pedersen@limedemo.com,0,1017,VD,,,0,1,2,511
1039,0,1,2018-06-21 14:38:38.883000000,1,2018-06-21 14:38:38.883000000,{997E08DF-0CE6-4329-8AB4-CFA1E7DDD8E6},Mari,Ahna,Mari Ahna,,0708896745,mari.ahna@limedemo.com,0,1015,Marknadsansvarig,,,0,1,2,511
1040,0,1,2018-06-21 14:38:38.883000000,1,2018-06-21 14:38:38.883000000,{B29FCF53-378B-4310-BA3D-5CF709268972},Mats,Nyman,Mats Nyman,04058522,0734224788,mats.nyman@limedemo.com,0,1007,Försäljningsansvarig,,,0,1,2,511
1041,0,1,2018-06-21 14:38:38.883000000,1,2018-06-21 14:38:38.883000000,{2AA87098-7878-46FA-B32A-FCB49BF563DB},Mattias,Nyberg,Mattias Nyberg,+358324253,+3584541152,mattias.nyberg@limedemo.com,0,1009,Ostopäällikkö,,,0,1,2,511
1042,0,1,2018-06-21 14:38:38.883000000,1,2018-06-21 14:38:38.883000000,{BBDD19BB-9953-4838-8B6C-40694836674E},Michael,Laudrup,Michael Laudrup,+4521217879,+4561616343,michael.laudrup@limedemo.com,0,1022,IT-chef,,,0,1,2,511
1043,0,1,2018-06-21 14:38:38.883000000,1,2018-06-21 14:38:38.883000000,{FE36F502-F6E4-406C-A337-563CD21642FD},Mike,Mortensen,Mike Mortensen,,+4526889201,mike.mortensen@limedemo.com,0,1023,IT-chef,,,0,1,2,511
1044,0,1,2018-06-21 14:38:38.883000000,1,2018-06-21 14:38:38.883000000,{5A7F6E09-7739-4235-8205-98FDE3CDA7AD},Mona,Larsen,Mona Larsen,+4588556674,+4532446655,mona.larsen@limedemo.com,0,1024,Försäljningsansvarig,,,0,1,2,511
1045,0,1,2018-06-21 14:38:38.883000000,1,2018-06-21 14:38:38.883000000,{2AFAFC44-B06F-42A5-95F5-2035516AAA61},Morten,Andersen,Morten Andersen,+4588556678,+4523547765,morten.andersen@limedemo.com,0,1024,Ekonomiansvarig,,,0,1,2,511
1046,0,1,2018-06-21 14:38:38.883000000,1,2018-06-21 14:38:38.883000000,{09E364F9-0A07-4D2D-8FD0-8081F7553D89},Morten,Larsen,Morten Larsen,+4566343455,+4554223344,morten.larsen@limedemo.com,0,1020,IT-chef,,,0,1,2,511
1047,0,1,2018-06-21 14:38:38.883000000,1,2018-06-21 14:38:38.883000000,{F9CB1861-BDDD-40E7-9B5A-389ED1FF497F},Niels,Tang,Niels Tang,+4566343435,+4520214567,niels.tang@limedemo.com,0,1020,VD,,,0,1,2,511
1048,0,1,2018-06-21 14:38:38.883000000,1,2018-06-21 14:38:38.883000000,{C219015C-8F6D-4766-9497-B58E709E0C40},Pelle,Peloton,Pelle Peloton,+358324242,+358450188,pelle.peloton@limedemo.com,0,1009,Myyntipäällikkö,,,0,1,2,511
1049,0,1,2018-06-21 14:38:38.883000000,1,2018-06-21 14:38:38.883000000,{278272D5-9804-49C4-8FFB-AF8F5EFBAD37},Per,Moberg,Per Moberg,040789498,070943682,per.moberg@limedemo.com,0,1013,VD,,,0,1,2,511
1050,0,1,2018-06-21 14:38:38.883000000,1,2018-06-21 14:38:38.883000000,{E9AB685F-5680-40DB-8D7C-A5F14D54D128},Peter,Andersen,Peter Andersen,+4586230001,+4520234545,peter.andersen@limedemo.com,0,1008,VD,,,0,1,2,511
1051,0,1,2018-06-21 14:38:38.883000000,1,2018-06-21 14:38:38.883000000,{F0099D0B-B332-4952-808C-B556734F7A17},Peter,Johansson,Peter Johansson,0818321254,0708136548,peter.johansson@limedemo.com,0,1011,Säljare,,,0,1,2,511
1052,0,1,2018-06-21 14:38:38.883000000,1,2018-06-21 14:38:38.883000000,{35F97B85-C327-4879-919B-DFE0F118BEF6},Petra,Danielsson,Petra Danielsson,0818321254,0807352121,petra.danielsson@limedemo.com,0,1011,Kundtjänst,,,0,1,2,511
1053,0,1,2018-06-21 14:38:38.883000000,1,2018-06-21 14:38:38.883000000,{D03DC15B-4C8F-4B26-B300-8EA207739642},Pia,Nielsen,Pia Nielsen,,,pia.nielsen@limedemo.com,0,1012,Ekonomiansvarig,,,0,1,2,511
1054,0,1,2018-06-21 14:38:38.883000000,1,2018-06-21 14:38:38.883000000,{B9215E88-7E71-4D54-88D8-0ECCB48DED0E},Poul,Hansen,Poul Hansen,+4560606076,+4534353637,poul.hansen@limedemo.com,0,1022,VD,,,0,1,2,511
1055,0,1,2018-06-21 14:38:38.883000000,1,2018-06-21 14:38:38.883000000,{CBD13DCF-08EE-45C1-AF39-33CA62F446CE},Robin,Toresson,Robin Toresson,,+46736401994,robin.toresson@limedemo.com,0,1026,Kundtjänst,,,0,1,2,511
1056,0,1,2018-06-21 14:38:38.883000000,1,2018-06-21 14:38:38.883000000,{72044418-EBCA-4606-93E2-7D862CEDDE5F},Roger,Andersson,Roger Andersson,0402224008,0708679127,roger.andersson@limedemo.com,0,1010,Försäljningsansvarig,,,0,1,2,511
1057,0,1,2018-06-21 14:38:38.883000000,1,2018-06-21 14:38:38.883000000,{41804608-6F04-4C38-AE9E-D16A54749595},Sanna,Johansson,Sanna Johansson,0822254382,0707535727,sanna.johansson@limedemo.com,0,1016,Marknadsansvarig,,,0,1,2,511
1058,0,1,2018-06-21 14:38:38.883000000,1,2018-06-21 14:38:38.883000000,{CF13E95D-178B-4465-AB03-96AFA5FCD95A},Sara,Klappert,Sara Klappert,040789685,070139786,sara.klappert@limedemo.com,0,1013,Säljare,,,0,1,2,511
1059,0,1,2018-06-21 14:38:38.883000000,1,2018-06-21 14:38:38.883000000,{E7E47962-C6B8-49CB-99D0-53CFCF0F1710},Staale,Solbakken,Staale Solbakken,+4567676778,+4527272729,staale.solbakken@limedemo.com,0,1022,Försäljningsansvarig,,,0,1,2,511
1060,0,1,2018-06-21 14:38:38.883000000,1,2018-06-21 14:38:38.883000000,{4E8062DA-3447-4B21-B58D-8E0ED7AD900A},Torben,Hansen,Torben Hansen,+4532559912,+4529264755,torben.hansen@limedemo.com,0,1023,VD,,,0,1,2,511
1061,0,1,2018-06-21 14:38:38.883000000,1,2018-06-21 14:38:38.883000000,{798FF3D2-951F-42FF-A0D8-979EAD8A98AE},Trine Noa,Keldsen,Trine Noa Keldsen,+4588556670,+23237000,trine noa.keldsen@limedemo.com,0,1024,VD,,,0,1,2,511
1062,0,1,2018-06-21 14:38:38.883000000,1,2018-06-21 14:38:38.883000000,{0BEE764C-0081-4D2C-8141-DAAD2E20A70E},Ulla,Bengtsson,Ulla Bengtsson,0402224005,0706145119,ulla.bengtsson@limedemo.com,0,1010,Ekonomiansvarig,,,0,1,2,511
1063,0,1,2018-06-21 14:38:38.883000000,1,2018-06-21 14:38:38.883000000,{E86AF1FB-3E13-4DBE-8C7F-7AF73359D3BD},Villy,Sovndahl,Villy Sovndahl,+4556767676,+4589897621,villy.sovndahl@limedemo.com,0,1019,VD,,,0,1,2,511
1064,0,1,2018-06-21 14:38:38.883000000,1,2018-06-21 14:38:38.883000000,{346B07A6-9170-432E-9F34-05BF79D429F0},Vishal,Studio,Vishal Studio,+4722134783,+4791144999,vishal.studio@lime.tech,0,1021,Tekniker,,,0,1,2,511
